name	is_dna_binding	is_greekc_dbtf	cluster_id
ADNP	1	1	1
ADNP2	1	1	1
AEBP1	1	1	1
AEBP2	1	0	1
AFF1	0	0	1
AFF2	0	0	3
AFF3	1	0	1
AFF4	0	0	1
AHCTF1	1	0	2
AHR	1	1	2
AHRR	0	1	1
AIRE	1	0	1
AKNA	1	0	1
ALX1	1	1	2
ALX3	1	1	2
ALX4	1	1	2
ANKZF1	0	0	1
AP5Z1	0	0	1
AR	1	1	2
ARGFX	1	1	2
ARHGAP35	1	0	1
ARID1A	1	0	1
ARID1B	1	0	1
ARID2	1	0	1
ARID3A	1	0	1
ARID3B	1	0	1
ARID3C	1	0	1
ARID4A	1	0	1
ARID4B	1	0	1
ARID5A	1	0	1
ARID5B	1	0	1
ARNT	1	1	2
ARNT2	1	1	2
ARNTL	1	1	2
ARNTL2	1	1	2
ARX	1	1	2
ASCL1	1	1	2
ASCL2	1	1	2
ASCL3	1	1	2
ASCL4	1	1	2
ASCL5	1	1	2
ASH1L	1	0	1
ASH2L	1	0	1
ATF1	1	1	2
ATF2	1	1	2
ATF3	1	1	2
ATF4	1	1	2
ATF5	1	1	2
ATF6	1	1	2
ATF6B	1	1	2
ATF7	1	1	1
ATOH1	1	1	2
ATOH7	1	1	2
ATOH8	1	1	2
ATRX	1	0	1
ATXN7	0	0	1
BACH1	1	1	2
BACH2	1	1	2
BARHL1	1	1	2
BARHL2	1	1	2
BARX1	1	1	2
BARX2	1	1	2
BATF	1	1	2
BATF2	1	1	2
BATF3	1	1	2
BBX	1	1	2
BCL11A	0	1	1
BCL11B	0	1	1
BCL3	0	0	1
BCL6	1	1	1
BCL6B	1	1	1
BCLAF1	1	0	1
BHLHA15	1	1	2
BHLHA9	1	1	2
BHLHB9	0	0	1
BHLHE22	0	1	2
BHLHE23	1	1	2
BHLHE40	1	1	2
BHLHE41	1	1	2
BMP2	0	0	1
BNC1	1	1	1
BNC2	1	1	1
BOLA1	0	0	1
BOLA2	0	0	1
BOLA3	0	0	1
BPTF	0	0	1
BRCA1	1	0	1
BSX	1	1	2
C20orf194	0	0	1
CAMTA1	1	0	2
CAMTA2	1	0	2
CARHSP1	0	0	1
CASZ1	1	1	1
CBFB	1	0	1
CCDC79	0	0	3
CDC5L	1	1	1
CDX1	1	1	2
CDX2	1	1	2
CDX4	1	1	2
CEBPA	1	1	2
CEBPB	1	1	2
CEBPD	1	1	2
CEBPE	1	1	2
CEBPG	1	1	2
CEBPZ	0	0	1
CENPT	1	0	1
CERS3	1	0	1
CERS6	1	0	1
CHAMP1	0	0	1
CIC	1	1	1
CIZ1	0	0	1
CLOCK	1	1	2
CNOT4	0	0	1
CPXCR1	0	0	1
CRAMP1	1	0	1
CREB1	1	1	2
CREB3	1	1	2
CREB3L1	1	1	2
CREB3L2	1	1	2
CREB3L3	1	1	2
CREB3L4	1	1	2
CREB5	1	1	1
CREBBP	0	0	1
CREBL2	1	1	2
CREBRF	0	1	1
CREBZF	1	1	2
CREM	1	1	2
CRX	1	1	2
CSRNP1	1	1	2
CSRNP2	1	1	2
CSRNP3	1	1	2
CTCF	1	1	1
CTCFL	1	1	1
CUX1	1	1	2
CUX2	1	1	2
CXXC1	1	0	1
DACH1	1	1	2
DACH2	1	1	2
DBP	1	1	2
DBX1	1	1	2
DBX2	1	1	2
DDB2	1	0	1
DDIT3	1	1	2
DEAF1	1	1	2
DLX1	1	1	2
DLX2	1	1	2
DLX3	1	1	2
DLX4	1	1	2
DLX5	1	1	2
DLX6	1	1	2
DMAP1	0	0	1
DMBX1	1	1	2
DMRT1	1	1	2
DMRT2	1	1	1
DMRT3	1	1	2
DMRTA1	1	1	2
DMRTA2	1	1	2
DMRTB1	1	1	2
DMRTC1	0	0	2
DMRTC1B	0	0	2
DMRTC2	1	1	2
DMTF1	1	1	2
DNAJC1	1	0	1
DNAJC2	1	0	1
DNAJC21	0	0	1
DNMT1	1	0	1
DNMT3A	1	0	1
DNMT3B	1	0	1
DNMT3L	0	0	1
DPF1	0	0	1
DPF2	0	0	1
DPF3	0	0	1
DPRX	1	1	2
DR1	1	0	1
DRAP1	1	0	1
DRGX	1	1	2
DUX4	1	1	1
DUX4L9	0	1	3
DUXA	1	1	2
E2F1	1	1	2
E2F2	1	1	2
E2F3	1	1	2
E2F4	1	1	2
E2F5	1	1	2
E2F6	1	1	2
E2F7	1	1	2
E2F8	1	1	2
E4F1	1	1	1
EBF1	1	1	2
EBF2	1	1	2
EBF3	1	1	2
EBF4	1	1	2
EGR1	1	1	1
EGR2	1	1	1
EGR3	1	1	1
EGR4	1	1	1
EHF	1	1	2
ELF1	1	1	2
ELF2	1	1	2
ELF3	1	1	2
ELF4	1	1	2
ELF5	1	1	2
ELK1	1	1	2
ELK3	1	1	2
ELK4	1	1	2
ELMSAN1	0	0	3
EMX1	1	1	2
EMX2	1	1	2
EN1	1	1	2
EN2	1	1	2
ENO1	1	1	1
EOMES	1	1	2
EPAS1	1	1	2
ERF	1	1	2
ERG	1	1	2
ESR1	1	1	2
ESR2	1	1	2
ESRRA	1	1	2
ESRRB	1	1	2
ESRRG	1	1	2
ESX1	1	1	2
ETS1	1	1	2
ETS2	1	1	2
ETV1	1	1	2
ETV2	1	1	2
ETV3	1	1	2
ETV3L	1	1	2
ETV4	1	1	2
ETV5	1	1	2
ETV6	1	1	2
ETV7	1	1	2
EVX1	1	1	2
EVX2	1	1	2
EZH1	0	0	1
EZH2	0	0	1
FAM170A	1	0	1
FERD3L	1	1	2
FEV	1	1	2
FEZF1	1	1	1
FEZF2	1	1	1
FIGLA	1	1	2
FIZ1	0	0	1
FLI1	1	1	2
FOS	1	1	2
FOSB	1	1	2
FOSL1	1	1	2
FOSL2	1	1	2
FOXA1	1	1	2
FOXA2	1	1	2
FOXA3	1	1	2
FOXB1	1	1	2
FOXB2	1	1	2
FOXC1	1	1	2
FOXC2	1	1	2
FOXD1	1	1	2
FOXD2	1	1	2
FOXD3	1	1	2
FOXD4	1	1	2
FOXD4L1	1	1	2
FOXD4L3	1	1	2
FOXD4L4	1	1	2
FOXD4L5	1	1	2
FOXD4L6	1	1	2
FOXE1	1	1	2
FOXE3	1	1	2
FOXF1	1	1	2
FOXF2	1	1	2
FOXG1	1	1	2
FOXH1	1	1	2
FOXI1	1	1	2
FOXI2	1	1	2
FOXI3	1	1	2
FOXJ1	1	1	2
FOXJ2	1	1	2
FOXJ3	1	1	2
FOXK1	1	1	2
FOXK2	1	1	2
FOXL1	1	1	2
FOXL2	1	1	2
FOXM1	1	1	2
FOXN1	1	1	2
FOXN2	1	1	2
FOXN3	1	1	2
FOXN4	1	1	2
FOXO1	1	1	2
FOXO3	1	1	2
FOXO4	1	1	2
FOXO6	1	1	2
FOXP1	1	1	2
FOXP2	1	1	2
FOXP3	1	1	1
FOXP4	1	1	2
FOXQ1	1	1	2
FOXR1	1	1	2
FOXR2	1	1	2
FOXS1	1	1	2
FUBP1	1	0	1
FUBP3	1	0	1
GABPA	1	1	2
GABPB1	0	0	1
GABPB2	0	0	1
GATA1	1	1	2
GATA2	1	1	2
GATA3	1	1	2
GATA4	1	1	2
GATA5	1	1	2
GATA6	1	1	2
GATAD1	0	0	1
GATAD2A	0	0	1
GATAD2B	0	0	1
GBX1	1	1	2
GBX2	1	1	2
GCFC2	1	0	1
GCM1	1	1	2
GCM2	1	1	2
GFI1	1	1	1
GFI1B	1	1	1
GLI1	1	1	1
GLI2	1	1	1
GLI3	1	1	1
GLI4	1	1	1
GLIS1	1	1	1
GLIS2	1	1	1
GLIS3	1	1	1
GMEB1	1	1	1
GMEB2	1	1	1
GON4L	1	0	1
GRHL1	1	1	2
GRHL2	1	1	2
GRHL3	1	1	2
GSC	1	1	2
GSC2	1	1	2
GSX1	1	1	2
GSX2	1	1	2
GTF2I	1	1	1
GTF3A	0	0	1
GZF1	1	1	1
HAND1	1	1	2
HAND2	1	1	2
HBP1	1	1	2
HDX	1	1	2
HELT	1	1	2
HES1	1	1	2
HES2	1	1	2
HES3	1	1	2
HES4	1	1	2
HES5	1	1	2
HES6	1	1	2
HES7	1	1	2
HESX1	1	1	2
HEY1	1	1	2
HEY2	1	1	2
HEYL	1	1	2
HHEX	1	1	2
HIC1	1	1	1
HIC2	1	1	1
HIF1A	1	1	2
HIF3A	1	1	2
HINFP	1	1	1
HIVEP1	1	1	1
HIVEP2	1	1	1
HIVEP3	1	1	1
HKR1	0	0	3
HLF	1	1	2
HLTF	1	0	1
HLX	1	1	2
HMBOX1	1	0	2
HMG20A	1	0	1
HMG20B	1	0	1
HMGA1	1	0	1
HMGA2	1	0	1
HMGXB3	1	0	1
HMGXB4	1	0	1
HMX1	1	1	2
HMX2	1	1	2
HMX3	1	1	2
HNF1A	1	1	2
HNF1B	1	1	2
HNF4A	1	1	2
HNF4G	1	1	2
HNRNPK	1	0	1
HOMEZ	1	1	2
HOPX	1	0	2
HOXA1	1	1	2
HOXA10	1	1	2
HOXA11	1	1	2
HOXA13	1	1	2
HOXA2	1	1	2
HOXA3	1	1	2
HOXA4	1	1	2
HOXA5	1	1	2
HOXA6	1	1	2
HOXA7	1	1	2
HOXA9	1	1	2
HOXB1	1	1	2
HOXB13	1	1	2
HOXB2	1	1	2
HOXB3	1	1	2
HOXB4	1	1	2
HOXB5	1	1	2
HOXB6	1	1	2
HOXB7	1	1	2
HOXB8	1	1	2
HOXB9	1	1	2
HOXC10	1	1	2
HOXC11	1	1	2
HOXC12	1	1	2
HOXC13	1	1	2
HOXC4	1	1	2
HOXC5	1	1	2
HOXC6	1	1	2
HOXC8	1	1	2
HOXC9	1	1	2
HOXD1	1	1	2
HOXD10	1	1	2
HOXD11	1	1	2
HOXD12	1	1	2
HOXD13	1	1	2
HOXD3	1	1	2
HOXD4	1	1	2
HOXD8	1	1	2
HOXD9	1	1	2
HSF1	1	1	2
HSF2	1	1	2
