name	target_class	cluster_id
ADNP	DbTF	1
ADNP2	DbTF	1
AEBP1	DbTF	1
AEBP2	no-TF	5
AFF1	no-TF	3
AFF2	no-TF	5
AFF3	no-TF	5
AFF4	no-TF	5
AHCTF1	no-TF	5
AHR	DbTF	2
AHRR	DbTF	1
AIRE	no-TF	5
AKNA	no-TF	5
ALX1	DbTF	2
ALX3	DbTF	2
ALX4	DbTF	2
ANKZF1	no-TF	5
AP5Z1	no-TF	5
AR	DbTF	2
ARGFX	DbTF	2
ARHGAP35	no-TF	5
ARID1A	no-TF	5
ARID1B	no-TF	5
ARID2	no-TF	1
ARID3A	no-TF	5
ARID3B	no-TF	5
ARID3C	no-TF	5
ARID4A	no-TF	5
ARID4B	no-TF	5
ARID5A	no-TF	5
ARID5B	no-TF	5
ARNT	DbTF	2
ARNT2	DbTF	2
ARNTL	DbTF	2
ARNTL2	DbTF	2
ARX	DbTF	2
ASCL1	DbTF	2
ASCL2	DbTF	2
ASCL3	DbTF	2
ASCL4	DbTF	2
ASCL5	DbTF	2
ASH1L	no-TF	5
ASH2L	no-TF	3
ATF1	DbTF	2
ATF2	DbTF	2
ATF3	DbTF	2
ATF4	DbTF	2
ATF5	DbTF	2
ATF6	DbTF	2
ATF6B	DbTF	2
ATF7	DbTF	1
ATOH1	DbTF	2
ATOH7	DbTF	2
ATOH8	DbTF	2
ATRX	no-TF	5
ATXN7	no-TF	5
BACH1	DbTF	2
BACH2	DbTF	2
BARHL1	DbTF	2
BARHL2	DbTF	2
BARX1	DbTF	2
BARX2	DbTF	2
BATF	DbTF	2
BATF2	DbTF	2
BATF3	DbTF	2
BBX	DbTF	2
BCL11A	DbTF	1
BCL11B	DbTF	1
BCL3	no-TF	5
BCL6	DbTF	1
BCL6B	DbTF	1
BCLAF1	no-TF	5
BHLHA15	DbTF	2
BHLHA9	DbTF	2
BHLHB9	no-TF	5
BHLHE22	DbTF	2
BHLHE23	DbTF	2
BHLHE40	DbTF	2
BHLHE41	DbTF	2
BMP2	no-TF	5
BNC1	DbTF	1
BNC2	DbTF	1
BOLA1	no-TF	5
BOLA2	no-TF	5
BOLA3	no-TF	5
BPTF	no-TF	1
BRCA1	no-TF	5
BSX	DbTF	2
C20orf194	no-TF	5
CAMTA1	no-TF	2
CAMTA2	no-TF	5
CARHSP1	no-TF	5
CASZ1	DbTF	1
CBFB	no-TF	5
CCDC79	no-TF	4
CDC5L	DbTF	2
CDX1	DbTF	2
CDX2	DbTF	2
CDX4	DbTF	2
CEBPA	DbTF	2
CEBPB	DbTF	2
CEBPD	DbTF	2
CEBPE	DbTF	2
CEBPG	DbTF	2
CEBPZ	no-TF	5
CENPT	no-TF	5
CERS3	no-TF	5
CERS6	no-TF	5
CHAMP1	no-TF	5
CIC	DbTF	2
CIZ1	no-TF	5
CLOCK	DbTF	2
CNOT4	no-TF	5
CPXCR1	no-TF	5
CRAMP1	no-TF	5
CREB1	DbTF	2
CREB3	DbTF	2
CREB3L1	DbTF	2
CREB3L2	DbTF	2
CREB3L3	DbTF	2
CREB3L4	DbTF	2
CREB5	DbTF	1
CREBBP	no-TF	5
CREBL2	DbTF	2
CREBRF	DbTF	2
CREBZF	DbTF	2
CREM	DbTF	2
CRX	DbTF	2
CSRNP1	DbTF	2
CSRNP2	DbTF	2
CSRNP3	DbTF	2
CTCF	DbTF	1
CTCFL	DbTF	1
CUX1	DbTF	2
CUX2	DbTF	2
CXXC1	no-TF	5
DACH1	DbTF	2
DACH2	DbTF	2
DBP	DbTF	2
DBX1	DbTF	2
DBX2	DbTF	2
DDB2	no-TF	5
DDIT3	DbTF	2
DEAF1	DbTF	2
DLX1	DbTF	2
DLX2	DbTF	2
DLX3	DbTF	2
DLX4	DbTF	2
DLX5	DbTF	2
DLX6	DbTF	2
DMAP1	no-TF	5
DMBX1	DbTF	2
DMRT1	DbTF	2
DMRT2	DbTF	1
DMRT3	DbTF	2
DMRTA1	DbTF	2
DMRTA2	DbTF	2
DMRTB1	DbTF	2
DMRTC1	no-TF	5
DMRTC1B	no-TF	5
DMRTC2	DbTF	2
DMTF1	DbTF	2
DNAJC1	no-TF	5
DNAJC2	no-TF	5
DNAJC21	no-TF	5
DNMT1	no-TF	5
DNMT3A	no-TF	5
DNMT3B	no-TF	5
DNMT3L	no-TF	5
DPF1	no-TF	5
DPF2	no-TF	5
DPF3	no-TF	5
DPRX	DbTF	2
DR1	no-TF	5
DRAP1	no-TF	5
DRGX	DbTF	2
DUX4	DbTF	1
DUX4L9	DbTF	4
DUXA	DbTF	2
E2F1	DbTF	2
E2F2	DbTF	2
E2F3	DbTF	2
E2F4	DbTF	2
E2F5	DbTF	2
E2F6	DbTF	2
E2F7	DbTF	2
E2F8	DbTF	2
E4F1	DbTF	1
EBF1	DbTF	2
EBF2	DbTF	2
EBF3	DbTF	2
EBF4	DbTF	2
EGR1	DbTF	1
EGR2	DbTF	1
EGR3	DbTF	1
EGR4	DbTF	1
EHF	DbTF	2
ELF1	DbTF	2
ELF2	DbTF	2
ELF3	DbTF	2
ELF4	DbTF	2
ELF5	DbTF	2
ELK1	DbTF	2
ELK3	DbTF	2
ELK4	DbTF	2
ELMSAN1	no-TF	4
EMX1	DbTF	2
EMX2	DbTF	2
EN1	DbTF	2
EN2	DbTF	2
ENO1	DbTF	1
EOMES	DbTF	2
EPAS1	DbTF	2
ERF	DbTF	2
ERG	DbTF	2
ESR1	DbTF	2
ESR2	DbTF	2
ESRRA	DbTF	2
ESRRB	DbTF	2
ESRRG	DbTF	2
ESX1	DbTF	2
ETS1	DbTF	2
ETS2	DbTF	2
ETV1	DbTF	2
ETV2	DbTF	2
ETV3	DbTF	2
ETV3L	DbTF	2
ETV4	DbTF	2
ETV5	DbTF	2
ETV6	DbTF	2
ETV7	DbTF	2
EVX1	DbTF	2
EVX2	DbTF	2
EZH1	no-TF	5
EZH2	no-TF	5
FAM170A	no-TF	5
FERD3L	DbTF	2
FEV	DbTF	2
FEZF1	DbTF	1
FEZF2	DbTF	1
FIGLA	DbTF	2
FIZ1	no-TF	5
FLI1	DbTF	2
FOS	DbTF	2
FOSB	DbTF	2
FOSL1	DbTF	2
FOSL2	DbTF	2
FOXA1	DbTF	2
FOXA2	DbTF	2
FOXA3	DbTF	2
FOXB1	DbTF	2
FOXB2	DbTF	2
FOXC1	DbTF	2
FOXC2	DbTF	2
FOXD1	DbTF	2
FOXD2	DbTF	2
FOXD3	DbTF	2
FOXD4	DbTF	2
FOXD4L1	DbTF	2
FOXD4L3	DbTF	2
FOXD4L4	DbTF	2
FOXD4L5	DbTF	2
FOXD4L6	DbTF	2
FOXE1	DbTF	2
FOXE3	DbTF	2
FOXF1	DbTF	2
FOXF2	DbTF	2
FOXG1	DbTF	2
FOXH1	DbTF	2
FOXI1	DbTF	2
FOXI2	DbTF	2
FOXI3	DbTF	2
FOXJ1	DbTF	2
FOXJ2	DbTF	2
FOXJ3	DbTF	2
FOXK1	DbTF	2
FOXK2	DbTF	2
FOXL1	DbTF	2
FOXL2	DbTF	2
FOXM1	DbTF	2
FOXN1	DbTF	2
FOXN2	DbTF	2
FOXN3	DbTF	2
FOXN4	DbTF	2
FOXO1	DbTF	2
FOXO3	DbTF	2
FOXO4	DbTF	2
FOXO6	DbTF	2
FOXP1	DbTF	2
FOXP2	DbTF	2
FOXP3	DbTF	1
FOXP4	DbTF	2
FOXQ1	DbTF	2
FOXR1	DbTF	2
FOXR2	DbTF	2
FOXS1	DbTF	2
FUBP1	no-TF	5
FUBP3	no-TF	5
GABPA	DbTF	2
GABPB1	no-TF	5
GABPB2	no-TF	5
GATA1	DbTF	2
GATA2	DbTF	2
GATA3	DbTF	2
GATA4	DbTF	2
GATA5	DbTF	2
GATA6	DbTF	2
GATAD1	no-TF	5
GATAD2A	no-TF	5
GATAD2B	no-TF	5
GBX1	DbTF	2
GBX2	DbTF	2
GCFC2	no-TF	5
GCM1	DbTF	2
GCM2	DbTF	2
GFI1	DbTF	1
GFI1B	DbTF	1
GLI1	DbTF	1
GLI2	DbTF	1
GLI3	DbTF	1
GLI4	DbTF	1
GLIS1	DbTF	1
GLIS2	DbTF	1
GLIS3	DbTF	1
GMEB1	DbTF	2
GMEB2	DbTF	2
GON4L	no-TF	5
GRHL1	DbTF	2
GRHL2	DbTF	2
GRHL3	DbTF	2
GSC	DbTF	2
GSC2	DbTF	2
GSX1	DbTF	2
GSX2	DbTF	2
GTF2I	DbTF	2
GTF3A	no-TF	5
GZF1	DbTF	1
HAND1	DbTF	2
HAND2	DbTF	2
HBP1	DbTF	2
HDX	DbTF	2
HELT	DbTF	2
HES1	DbTF	2
HES2	DbTF	2
HES3	DbTF	2
HES4	DbTF	2
HES5	DbTF	2
HES6	DbTF	2
HES7	DbTF	2
HESX1	DbTF	2
HEY1	DbTF	2
HEY2	DbTF	2
HEYL	DbTF	2
HHEX	DbTF	2
HIC1	DbTF	1
HIC2	DbTF	1
HIF1A	DbTF	2
HIF3A	DbTF	2
HINFP	DbTF	1
HIVEP1	DbTF	1
HIVEP2	DbTF	1
HIVEP3	DbTF	1
HKR1	no-TF	4
