term	name
GO:0008134	TF binding
GO:0002039	p53 binding
GO:0046332	SMAD binding
GO:0042393	histone binding
GO:0001098	basal transcription machinery binding
GO:0003682	chromatin binding
GO:0042826	histone deacetylase binding
GO:0035035	histone acetyltransferase binding
GO:1990226	histone methyltransferase binding
GO:0070063	RNA polymerase binding
GO:0004402	histone acetyltransferase activity
GO:0004407	histone deacetylase activity
GO:0042054	histone methyltransferase activity
GO:0016570	histone modification
GO:0006325	chromatin organization
GO:0003712	transcription coregulator activity
