A6H8Y1,BDP1
O00167,EYA2
O00213,APBB1
O00255,MEN1
O00268,TAF4
O00287,RFXAP
O00422,SAP18
O00625,PIR
O14646,CHD1
O14686,MLL2
O14744,ANM5
O14936,CSKP
O14981,BTAF1
O15047,SET1A
O15105,SMAD7
O15151,MDM4
O15164,TIF1A
O15265,ATX7
O15379,HDAC3
O43189,PHF1
O43251,RBM9
O43255,SIAH2
O43294,TGFI1
O43439,MTG8R
O43463,SUV91
O43513,MED7
O43541,SMAD6
O43593,HAIR
O43660,PLRG1
O60216,RAD21
O60224,SSX4
O60244,MED14
O60264,SMCA5
O60341,KDM1
O60504,VINEX
O60563,CCNT1
O60674,JAK2
O60716,CTND1
O60828,PQBP1
O60869,EDF1
O60907,TBL1X
O75081,MTG16
O75175,CNOT3
O75182,SIN3B
O75190,DNJB6
O75376,NCOR1
O75381,PEX14
O75446,SAP30
O75448,MED24
O75475,PSIP1
O75478,TAD2A
O75486,SUPT3
O75506,HSBP1
O75525,KHDR3
O75528,TADA3
O75530,EED
O75582,KS6A5
O75586,MED6
O75592,MYCB2
O75604,UBP2
O75676,KS6A4
O75925,PIAS1
O75928,PIAS2
O75971,SNPC5
O94763,RMP
O94776,MTA2
O94906,PRP6
O94992,HEXI1
O95163,ELP1
O95251,MYST2
O95402,MED26
O95551,TDP2
O95905,SGT1
O95983,MBD3
O95997,PTTG1
O96019,ACL6A
P00519,ABL1
P01137,TGFB1
P04626,ERBB2
P06213,INSR
P06400,RB
P06748,NPM
P07199,CENPB
P07550,ADRB2
P09429,HMGB1
P10415,BCL2
P10599,THIO
P11309,PIM1
P12956,KU70
P13984,T2FB
P14373,TRI27
P14923,PLAK
P17096,HMGA1
P17844,DDX5
P17980,PRS6A
P18074,ERCC2
P19447,ERCC3
P19474,RO52
P20248,CCNA2
P20290,BTF3
P20749,BCL3
P21333,FLNA
P21675,TAF1
P23193,TCEA1
P23246,SFPQ
P23297,S10A1
P23396,RS3
P24863,CCNC
P24864,CCNE1
P24928,RPB1
P24941,CDK2
P25205,MCM3
P25800,RBTN1
P25963,IKBA
P26358,DNMT1
P26583,HMGB2
P27361,MK03
P27695,APEX1
P27797,CALR
P28482,MK01
P28749,RBL1
P29083,T2EA
P29084,T2EB
P29375,KDM5A
P29590,PML
P30153,2AAA
P31946,1433B
P32780,TF2H1
P33076,C2TA
P33991,MCM4
P33992,MCM5
P33993,MCM7
P35222,CTNB1
P35226,BMI1
P35227,PCGF2
P35232,PHB
P35251,RFC1
P35269,T2FA
P35659,DEK
P36954,RPB9
P37198,NUP62
P39687,AN32A
P40337,VHL
P41229,KDM5C
P42704,LPPRC
P42771,CD2A1
P42858,HD
P45973,CBX5
P46108,CRK
P46527,CDN1B
P46531,NOTC1
P46937,YAP1
P48552,NRIP1
P49336,CDK8
P49407,ARRB1
P49454,CENPF
P49736,MCM2
P49848,TAF6
P49918,CDN1C
P50613,CDK7
P50750,CDK9
