"numberOfHits","database","id","symbol","name","synonyms__001","synonyms__002","synonyms__003","synonyms__004","synonyms__005","synonyms__006","synonyms__007","synonyms__008","synonyms__009","type","taxonId","databaseSubset","parentId","proteome","pageInfo","facet"
"1437","UniProtKB","A0A2Z4LIS9","FOXO3B","Forkhead box protein O3B","FOXO3B","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","null","null"
"","UniProtKB","A0AVK6","E2F8","Transcription factor E2F8","E2F8","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","A6NFI3","ZNF316","Zinc finger protein 316","ZNF316","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","A6NGD5","ZSCAN5C","Zinc finger and SCAN domain-containing protein 5C","ZSCAN5C","ZSCAN5CP","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","A6NHT5","HMX3","Homeobox protein HMX3","HMX3","NKX-5.1","NKX5-1","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","A8MQ14","ZNF850","Zinc finger protein 850","ZNF850","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","E7ETH6","ZNF587B","Zinc finger protein 587B","ZNF587B","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q12950","FOXD4","Forkhead box protein D4","FOXD4","FKHL9","FOXD4A","FREAC5","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q13118","KLF10","Krueppel-like factor 10","KLF10","TIEG","TIEG1","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q13342","SP140","Nuclear body protein SP140","SP140","LYSP100","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q13422","IKZF1","DNA-binding protein Ikaros","IKZF1","IK1","IKAROS","LYF1","ZNFN1A1","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q13469","NFATC2","Nuclear factor of activated T-cells, cytoplasmic 2","NFATC2","NFAT1","NFATP","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q14190","SIM2","Single-minded homolog 2","SIM2","BHLHE15","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q14588","ZNF234","Zinc finger protein 234","ZNF234","ZNF269","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q147U1","ZNF846","Zinc finger protein 846","ZNF846","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q15306","IRF4","Interferon regulatory factor 4","IRF4","MUM1","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q15583","TGIF1","Homeobox protein TGIF1","TGIF1","TGIF","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q15796","SMAD2","Mothers against decapentaplegic homolog 2","SMAD2","MADH2","MADR2","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q15797","SMAD1","Mothers against decapentaplegic homolog 1","SMAD1","BSP1","MADH1","MADR1","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q15853","USF2","Upstream stimulatory factor 2","USF2","BHLHB12","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q16534","HLF","Hepatic leukemia factor","HLF","","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q16670","ZSCAN26","Zinc finger and SCAN domain-containing protein 26","ZSCAN26","ZNF187","","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
"","UniProtKB","Q16676","FOXD1","Forkhead box protein D1","FOXD1","FKHL8","FREAC4","","","","","","","PROTEIN","9606","Swiss-Prot","","gcrpCan","",""
