protein_id	name
A0A024QZB2	MGC13138
A0A024QZC7	FLJ32130
A0A024QZC8	FLJ23436
A0A024R8B7	CRSP8
A0A0A0N0L4	Klf5
A0A0G2JMD5	PRAMEF33
A0A0U1RQI7	KLF18
A0A1B0GTS1	HSFX4
A0A1B0GVZ6	MBD3L2B
A0A1B0GWH4	HSFX3
A0A1W2PPF3	DUXB
A0A1W2PPM1	CPHXL
A0A2Z4LIS9	FOXO3B
A0A5F9ZHS7	NFILZ
A0AVK6	E2F8
A0JLT2	MED19
A0PJY2	FEZF1
A1A519	FAM170A
A1YPR0	ZBTB7C
A2AJT9	BCLAF3
A2RRD8	ZNF320
A2RU54	HMX2
A3QJZ6	PRAMEF22
A3QJZ7	PRAMEF27
A4D1E1	ZNF804B
A4GXA9	EME2
A5HJR3	LOC126295
A5PL33	KRBA1
A5YKK6	CNOT1
A6H8Y1	BDP1
A6NCS4	NKX2-6
A6ND36	FAM83G
A6NDZ8	MBD3L4
A6NE82	MBD3L3
A6NFC5	TMEM235
A6NFD8	HELT
A6NFI3	ZNF316
A6NFQ7	DPRX
A6NGH7	CCDC160
A6NGN4	PRAMEF25
A6NHJ4	ZNF860
A6NHT5	HMX3
A6NI15	MSGN1
A6NIX2	WTIP
A6NJ08	MBD3L5
A6NJ46	NKX6-3
A6NJG6	ARGFX
A6NJL1	ZSCAN5B
A6NJT0	UNCX
A6NK06	ACOD1
A6NK53	ZNF233
A6NK75	ZNF98
A6NKF2	ARID3C
A6NLW8	DUXA
A6NM28	ZFP92
A6NMK7	CPSF4L
A6NMT0	DBX1
A6NN14	ZNF729
A6NNA5	DRGX
A6NNF4	ZNF726
A6NP11	ZNF716
A8K0R7	ZNF839
A8K8V0	ZNF785
A8MQ14	ZNF850
A8MT65	ZNF891
A8MT69	CENPX
A8MTJ6	FOXI3
A8MTQ0	NOTO
A8MUV8	ZNF727
A8MUZ8	ZNF705G
A8MV65	VGLL3
A8MWA4	ZNF705E
A8MXY4	ZNF99
A8MYZ6	FOXO6
A8MZ59	LEUTX
A9YTQ3	AHRR
B1APH4	ZNF487
B1Q2B0	URCC5
B2CW77	KLLN
B2RD01	CENPBD1
B2RXF5	ZBTB42
B2RXH2	KDM4E
B2RXH8	HNRNPCL2
B4DU55	ZNF879
B4DX44	ZNF736
B4DXR9	ZNF732
B5ME19	EIF3CL
B7Z6K7	ZNF814
C0SQ93	ERRgamma
C4PGM0	Sp1
C9JBD0	KRBOX1
C9JCN9	HSBP1L1
C9JLR9	ZFTA
C9JN71	ZNF878
C9JSJ3	MEIOSIN
D5K9S7	POU5F1P3
D5K9W5	POU5F1P4
D6RGH6	MCIDAS
E7ETH6	ZNF587B
E9PAV3	NACA
E9PGG2	ANHX
F1D8P8	NR1i1
F1D8P9	NR1i2
G4VV16	AR8
L8B7P7	ATL1-alpha
O00110	OVOL3
O00141	SGK1
O00151	PDLIM1
O00165	HAX1
O00167	EYA2
O00170	AIP
O00182	LGALS9
O00206	TLR4
O00213	APBB1
O00221	NFKBIE
O00231	PSMD11
O00232	PSMD12
O00233	PSMD9
O00237	RNF103
O00255	MEN1
O00257	CBX4
O00267	SUPT5H
O00268	TAF4
O00287	RFXAP
O00291	HIP1
O00294	TULP1
O00295	TULP2
O00308	WWP2
O00321	ETV2
O00327	ARNTL
O00358	FOXE1
O00401	WASL
O00409	FOXN3
O00411	POLRMT
O00422	SAP18
O00458	IFRD1
O00459	PIK3R2
O00463	TRAF5
O00470	MEIS1
O00472	ELL2
O00478	BTN3A3
O00482	NR5A2
O00488	ZNF593
O00499	BIN1
O00512	BCL9
O00541	PES1
O00570	SOX1
O00571	DDX3X
O00625	PIR
O00635	TRIM38
O00712	NFIB
O00716	E2F3
O00744	WNT10B
O14495	PLPP3
O14497	ARID1A
O14503	BHLHE40
O14529	CUX2
O14545	TRAFD1
O14593	RFXANK
O14607	UTY
O14627	CDX4
O14628	ZNF195
O14640	DVL1
O14641	DVL2
O14646	CHD1
O14647	CHD2
O14682	ENC1
O14686	KMT2D
O14709	ZNF197
O14744	PRMT5
O14746	TERT
O14753	OVOL1
O14757	CHEK1
O14770	MEIS2
O14771	ZNF213
O14776	TCERG1
O14777	NDC80
O14788	TNFSF11
O14802	POLR3A
O14813	PHOX2A
O14862	AIM2
O14867	BACH1
O14896	IRF6
O14901	KLF11
O14907	TAX1BP3
O14920	IKBKB
O14929	HAT1
O14936	CASK
O14948	TFEC
O14974	PPP1R12A
O14978	ZNF263
O14979	HNRNPDL
O14980	XPO1
O14981	BTAF1
O15014	ZNF609
O15015	ZNF646
O15016	TRIM66
O15031	PLXNB2
O15047	SETD1A
O15054	KDM6B
O15055	PER2
O15060	ZBTB39
O15062	ZBTB5
O15078	CEP290
O15090	ZNF536
O15105	SMAD7
O15111	CHUK
O15119	TBX3
O15151	MDM4
O15156	ZBTB7B
O15162	PLSCR1
O15164	TRIM24
O15169	AXIN1
O15178	TBXT
O15198	SMAD9
O15209	ZBTB22
O15226	NKRF
O15231	ZNF185
O15245	SLC22A1
O15265	ATXN7
O15266	SHOX
O15294	OGT
O15303	GRM6
O15304	SIVA1
O15318	POLR3G
O15344	MID1
O15347	HMGB3
O15350	TP73
O15353	FOXN1
O15360	FANCA
O15370	SOX12
O15379	HDAC3
O15391	YY2
O15392	BIRC5
O15405	TOX3
O15409	FOXP2
O15417	TNRC18
O15455	TLR3
O15496	PLA2G10
O15499	GSC2
O15504	NUP42
O15516	CLOCK
O15519	CFLAR
O15522	NKX2-8
O15525	MAFG
O15527	OGG1
O15530	PDPK1
O15534	PER1
O15535	ZSCAN9
O15541	RNF113A
O15550	KDM6A
O15553	MEFV
O43147	SGSM2
O43151	TET3
O43157	PLXNB1
O43159	RRP8
O43167	ZBTB24
O43172	PRPF4
O43186	CRX
O43187	IRAK2
O43189	PHF1
O43245	p65
O43248	HOXC11
O43251	RBFOX2
O43255	SIAH2
O43283	MAP3K13
O43290	SART1
