protein_id,protein_class,cluster_id
A0A024QZB2,None,2
A0A024QZC7,None,2
A0A024QZC8,None,2
A0A024R8B7,None,2
A0A0A0N0L4,None,2
A0A0G2JMD5,None,1
A0A0U1RQI7,DbTF,5
A0A1B0GTS1,DbTF,4
A0A1B0GVZ6,None,2
A0A1B0GWH4,DbTF,4
A0A1W2PPF3,DbTF,4
A0A1W2PPM1,DbTF,4
A0A2Z4LIS9,DbTF,2
A0A5F9ZHS7,DbTF,2
A0AVK6,DbTF,4
A0JLT2,coTF,2
A0PJY2,DbTF,4
A1A519,None,2
A1YPR0,DbTF,5
A2AJT9,coTF,2
A2RRD8,DbTF,5
A2RU54,DbTF,4
A3QJZ6,None,1
A3QJZ7,None,1
A4D1E1,None,2
A4GXA9,None,2
A5HJR3,None,2
A5PL33,None,2
A5YKK6,None,2
A6H8Y1,None,2
A6NCS4,DbTF,4
A6ND36,None,2
A6NDZ8,None,2
A6NE82,None,2
A6NFC5,None,2
A6NFD8,DbTF,4
A6NFI3,DbTF,4
A6NFQ7,DbTF,4
A6NGH7,None,2
A6NGN4,None,1
A6NHJ4,DbTF,5
A6NHT5,DbTF,4
A6NI15,Both,4
A6NIX2,None,2
A6NJ08,None,2
A6NJ46,DbTF,4
A6NJG6,DbTF,4
A6NJL1,DbTF,5
A6NJT0,DbTF,4
A6NK06,None,2
A6NK53,DbTF,5
A6NK75,DbTF,8
A6NKF2,coTF,2
A6NLW8,DbTF,4
A6NM28,DbTF,5
A6NMK7,None,2
A6NMT0,DbTF,4
A6NN14,DbTF,6
A6NNA5,DbTF,4
A6NNF4,DbTF,5
A6NP11,DbTF,8
A8K0R7,None,2
A8K8V0,DbTF,7
A8MQ14,DbTF,6
A8MT65,DbTF,7
A8MT69,None,2
A8MTJ6,DbTF,4
A8MTQ0,DbTF,4
A8MUV8,DbTF,8
A8MUZ8,DbTF,7
A8MV65,None,2
A8MWA4,DbTF,7
A8MXY4,DbTF,6
A8MYZ6,DbTF,4
A8MZ59,DbTF,4
A9YTQ3,DbTF,4
B1APH4,DbTF,7
B1Q2B0,None,2
B2CW77,None,2
B2RD01,None,2
B2RXF5,DbTF,4
B2RXH2,None,2
B2RXH8,None,2
B4DU55,DbTF,5
B4DX44,DbTF,8
B4DXR9,DbTF,8
B5ME19,None,2
B7Z6K7,DbTF,6
C0SQ93,None,2
C4PGM0,None,2
C9JBD0,None,2
C9JCN9,None,2
C9JLR9,None,2
C9JN71,DbTF,4
C9JSJ3,None,2
D5K9S7,None,2
D5K9W5,None,2
D6RGH6,None,2
E7ETH6,DbTF,7
E9PAV3,None,2
E9PGG2,DbTF,4
F1D8P8,None,2
F1D8P9,None,2
G4VV16,None,2
L8B7P7,None,6
O00110,DbTF,5
O00141,None,2
O00151,None,2
O00165,None,2
O00167,coTF,2
O00170,coTF,2
O00182,None,2
O00206,None,2
O00213,coTF,2
O00221,None,2
O00231,None,3
O00232,None,3
O00233,None,3
O00237,None,2
O00255,coTF,2
O00257,coTF,2
O00267,coTF,2
O00268,None,2
O00287,None,2
O00291,None,2
O00294,None,2
O00295,None,2
O00308,coTF,2
O00321,DbTF,4
O00327,DbTF,4
O00358,DbTF,4
O00401,None,2
O00409,DbTF,4
O00411,None,2
O00422,coTF,2
O00458,None,2
O00459,None,2
O00463,None,2
O00470,Both,4
O00472,None,2
O00478,None,2
O00482,Both,4
O00488,None,2
O00499,coTF,2
O00512,None,2
O00541,None,2
O00570,Both,4
O00571,coTF,2
O00625,coTF,2
O00635,None,2
O00712,DbTF,4
O00716,DbTF,4
O00744,None,2
O14495,None,2
O14497,None,2
O14503,DbTF,4
O14529,DbTF,4
O14545,None,2
O14593,coTF,2
O14607,None,2
O14627,DbTF,4
O14628,DbTF,4
O14640,None,2
O14641,None,2
O14646,None,2
O14647,coTF,2
O14682,None,2
O14686,coTF,2
O14709,DbTF,6
O14744,coTF,2
O14746,None,2
O14753,DbTF,5
O14757,None,2
O14770,Both,4
O14771,DbTF,5
O14776,coTF,2
O14777,None,2
O14788,None,2
O14802,coTF,2
O14813,DbTF,4
O14862,None,2
O14867,DbTF,4
O14896,DbTF,4
O14901,DbTF,4
O14907,None,2
O14920,None,2
O14929,coTF,2
O14936,None,2
O14948,DbTF,4
O14974,None,2
O14978,DbTF,4
O14979,None,2
O14980,None,2
O14981,coTF,2
O15014,None,2
O15015,DbTF,8
O15016,None,2
O15031,None,2
O15047,coTF,2
O15054,None,2
O15055,None,2
O15060,DbTF,4
O15062,DbTF,4
O15078,None,2
O15090,DbTF,8
O15105,None,2
O15111,None,2
O15119,DbTF,4
O15151,None,2
O15156,Both,4
O15162,DbTF,2
O15164,coTF,2
O15169,coTF,2
O15178,DbTF,4
O15198,DbTF,4
O15209,DbTF,4
O15226,DbTF,2
O15231,None,2
O15245,None,2
O15265,None,2
O15266,DbTF,4
O15294,None,2
O15303,None,2
