protein_id,gene_name,protein_class,cluster_id,cluster_id_new
A0A0G2JMD5,PRAMEF33,None,1,1B
A0A0U1RQI7,KLF18,DbTF,8,2B
A0A1B0GTS1,HSFX4,DbTF,6,2A
A0A1B0GTU1,ZC3H11B,None,2,1A
A0A1B0GVX0,LITAFD,None,2,1A
A0A1B0GVZ6,MBD3L2B,None,2,1A
A0A1B0GWH4,HSFX3,DbTF,6,2A
A0A1W2PPF3,DUXB,DbTF,6,2A
A0A1W2PPM1,CPHXL,DbTF,8,2B
A0A1W2PQ73,ERFL,DbTF,6,2A
A0A1W2PRP0,FOXL3,DbTF,6,2A
A0A2Z4LIS9,FOXO3B,DbTF,2,1A
A0A5F9ZHS7,NFILZ,DbTF,2,1A
A0AVK6,E2F8,DbTF,6,2A
A0JLT2,MED19,coTF,2,1A
A0PJY2,FEZF1,DbTF,6,2A
A1A519,FAM170A,None,2,1A
A1YPR0,ZBTB7C,DbTF,8,2B
A2AJT9,BCLAF3,coTF,2,1A
A2RRD8,ZNF320,DbTF,4,2C
A2RU54,HMX2,DbTF,6,2A
A3QJZ6,PRAMEF22,None,1,1B
A3QJZ7,PRAMEF27,None,1,1B
A4D1E1,ZNF804B,None,2,1A
A4GXA9,EME2,None,2,1A
A5PL33,KRBA1,None,2,1A
A5YKK6,CNOT1,coTF,2,1A
A6H8Y1,BDP1,None,2,1A
A6NCS4,NKX2-6,DbTF,6,2A
A6ND36,FAM83G,coTF,2,1A
A6NDR6,MEIS3P1,DbTF,6,2A
A6NDX5,ZNF840P,DbTF,7,2D
A6NDZ8,MBD3L4,None,2,1A
A6NE82,MBD3L3,None,2,1A
A6NFC5,TMEM235,None,2,1A
A6NFD8,HELT,DbTF,6,2A
A6NFI3,ZNF316,DbTF,6,2A
A6NFQ7,DPRX,DbTF,6,2A
A6NGD5,ZSCAN5C,DbTF,8,2B
A6NGN4,PRAMEF25,None,1,1B
A6NHJ4,ZNF860,DbTF,4,2C
A6NHT5,HMX3,DbTF,6,2A
A6NI15,MSGN1,DbTF,6,2A
A6NIX2,WTIP,coTF,2,1A
A6NJ08,MBD3L5,None,2,1A
A6NJ46,NKX6-3,DbTF,6,2A
A6NJG6,ARGFX,DbTF,6,2A
A6NJL1,ZSCAN5B,DbTF,4,2C
A6NJT0,UNCX,DbTF,6,2A
A6NK06,ACOD1,None,2,1A
A6NK53,ZNF233,DbTF,8,2B
A6NK75,ZNF98,DbTF,5,2F
A6NKF2,ARID3C,None,2,1A
A6NLW8,DUXA,DbTF,6,2A
A6NM28,ZFP92,DbTF,8,2B
A6NMK7,CPSF4L,None,2,1A
A6NMT0,DBX1,DbTF,6,2A
A6NN14,ZNF729,DbTF,7,2D
A6NNA5,DRGX,DbTF,6,2A
A6NNF4,ZNF726,DbTF,8,2B
A6NP11,ZNF716,DbTF,5,2F
A6QL63,BTBD11,None,2,1A
A8K0R7,ZNF839,None,2,1A
A8K0S8,MEIS3P2,DbTF,6,2A
A8K8V0,ZNF785,DbTF,3,2E
A8MQ14,ZNF850,DbTF,7,2D
A8MT65,ZNF891,DbTF,3,2E
A8MT69,CENPX,None,2,1A
A8MTJ6,FOXI3,DbTF,6,2A
A8MTQ0,NOTO,DbTF,6,2A
A8MTY0,ZNF724,DbTF,5,2F
A8MUV8,ZNF727,DbTF,5,2F
A8MUZ8,ZNF705G,DbTF,3,2E
A8MV65,VGLL3,coTF,2,1A
A8MVS1,ZNF705F,DbTF,3,2E
A8MWA4,ZNF705E,DbTF,3,2E
A8MXY4,ZNF99,DbTF,7,2D
A8MYZ6,FOXO6,DbTF,6,2A
A8MZ59,LEUTX,DbTF,6,2A
A9YTQ3,AHRR,DbTF,6,2A
B1APH4,ZNF487,DbTF,3,2E
B2CW77,KLLN,None,2,1A
B2RD01,CENPBD1,None,2,1A
B2RPK0,HMGB1P1,None,2,1A
B2RXF5,ZBTB42,DbTF,4,2C
B2RXH2,KDM4E,None,2,1A
B2RXH8,HNRNPCL2,None,2,1A
B4DU55,ZNF879,DbTF,8,2B
B4DX44,ZNF736,DbTF,5,2F
B4DXR9,ZNF732,DbTF,5,2F
B5ME19,EIF3CL,None,2,1A
B7Z6K7,ZNF814,DbTF,7,2D
C9JBD0,KRBOX1,None,2,1A
C9JCN9,HSBP1L1,coTF,2,1A
C9JLR9,ZFTA,None,2,1A
C9JN71,ZNF878,DbTF,6,2A
C9JSJ3,MEIOSIN,None,2,1A
D5K9S7,POU5F1P3,None,2,1A
D5K9W5,POU5F1P4,None,2,1A
D6RGH6,MCIDAS,coTF,2,1A
E7ETH6,ZNF587B,Both,3,2E
E9PAV3,"NACA",None,2,1A
E9PGG2,ANHX,DbTF,8,2B
O00110,OVOL3,DbTF,8,2B
O00141,SGK1,coTF,2,1A
O00151,PDLIM1,coTF,2,1A
O00165,HAX1,coTF,2,1A
O00167,EYA2,coTF,2,1A
O00170,AIP,coTF,2,1A
O00182,LGALS9,coTF,2,1A
O00206,TLR4,None,2,1A
O00213,APBB1,coTF,2,1A
O00221,NFKBIE,None,2,1A
O00231,PSMD11,None,2,1A
O00232,PSMD12,None,2,1A
O00233,PSMD9,coTF,2,1A
O00237,RNF103,None,2,1A
O00255,MEN1,coTF,2,1A
O00257,CBX4,coTF,2,1A
O00267,SUPT5H,coTF,2,1A
O00268,TAF4,None,2,1A
O00287,RFXAP,None,7,2D
O00291,HIP1,coTF,2,1A
O00294,TULP1,None,2,1A
O00295,TULP2,None,2,1A
O00308,WWP2,coTF,2,1A
O00321,ETV2,DbTF,6,2A
O00327,ARNTL,DbTF,6,2A
O00358,FOXE1,DbTF,6,2A
O00401,WASL,coTF,2,1A
O00409,FOXN3,DbTF,6,2A
O00411,POLRMT,None,2,1A
O00422,SAP18,coTF,2,1A
O00458,IFRD1,None,2,1A
O00459,PIK3R2,coTF,2,1A
O00463,TRAF5,None,2,1A
O00470,MEIS1,DbTF,6,2A
O00472,ELL2,coTF,2,1A
O00478,BTN3A3,None,2,1A
O00482,NR5A2,DbTF,6,2A
O00488,ZNF593,None,2,1A
O00499,BIN1,None,2,1A
O00512,BCL9,coTF,2,1A
O00541,PES1,None,2,1A
O00570,SOX1,DbTF,6,2A
O00571,DDX3X,None,2,1A
O00625,PIR,coTF,2,1A
O00635,TRIM38,coTF,2,1A
O00712,NFIB,DbTF,6,2A
O00716,E2F3,DbTF,6,2A
O00744,WNT10B,None,2,1A
O14495,PLPP3,None,2,1A
O14497,ARID1A,coTF,2,1A
O14503,BHLHE40,DbTF,6,2A
O14529,CUX2,DbTF,6,2A
O14545,TRAFD1,None,2,1A
O14593,RFXANK,None,7,2D
O14607,UTY,None,2,1A
O14627,CDX4,DbTF,6,2A
O14628,ZNF195,DbTF,6,2A
O14640,DVL1,None,2,1A
O14641,DVL2,coTF,2,1A
O14646,CHD1,None,2,1A
O14647,CHD2,None,2,1A
O14682,ENC1,None,2,1A
O14686,KMT2D,coTF,2,1A
O14709,ZNF197,DbTF,7,2D
O14744,PRMT5,coTF,2,1A
O14746,TERT,None,2,1A
O14753,OVOL1,DbTF,4,2C
O14757,CHEK1,coTF,2,1A
O14770,MEIS2,DbTF,6,2A
O14771,ZNF213,DbTF,4,2C
O14776,TCERG1,coTF,2,1A
O14777,NDC80,None,2,1A
O14788,TNFSF11,None,2,1A
O14802,POLR3A,None,2,1A
O14813,PHOX2A,DbTF,6,2A
O14862,AIM2,coTF,2,1A
