Entry	Gene ontology IDs	Cross-reference (InterPro)
A0A024QZB2	GO:0006355; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A0A024QZC7	GO:0006355; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A0A024QZC8	GO:0003677; GO:0005634; GO:0006366; GO:0046872	IPR000684;IPR036236;IPR013087;
A0A024R8B7	GO:0005654; GO:0005730; GO:0005829; GO:0016592	IPR021627;
A0A0A0N0L4		
A0A0G2JMD5	GO:0005737; GO:0008284; GO:0043066; GO:0045596; GO:0045892	IPR026271;
A0A0U1RQI7	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	IPR011049;IPR036236;IPR013087;
A0A1B0GTS1	GO:0000978; GO:0003700; GO:0005634; GO:0006357	IPR000232;IPR027725;IPR036388;IPR036390;
A0A1B0GVZ6		IPR032343;IPR025884;
A0A1B0GWH4	GO:0000785; GO:0000978; GO:0000981; GO:0003700; GO:0005634; GO:0006357	IPR000232;IPR027725;IPR036388;IPR036390;
A0A1W2PPF3	GO:0000977; GO:0000981; GO:0005634; GO:0006357	IPR009057;IPR017970;IPR001356;
A0A1W2PPM1	GO:0000978; GO:0000981; GO:0005634; GO:0006357	IPR009057;IPR001356;
A0A2Z4LIS9	GO:0003700; GO:0005829; GO:0043565	IPR001766;IPR036388;IPR036390;
A0A5F9ZHS7	GO:0003677; GO:0003700; GO:0005634; GO:0006366; GO:0006955	IPR004827;IPR016743;
A0AVK6	GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0000987; GO:0001217; GO:0001227; GO:0001890; GO:0002040; GO:0003700; GO:0005654; GO:0005730; GO:0005829; GO:0006357; GO:0006977; GO:0008283; GO:0032466; GO:0032877; GO:0033301; GO:0042802; GO:0045944; GO:0060707; GO:0060718; GO:0070365; GO:0090575; GO:1990837	IPR015633;IPR003316;IPR036388;IPR036390;
A0JLT2	GO:0003712; GO:0008134; GO:0016592; GO:0045944	IPR019403;
A0PJY2	GO:0000978; GO:0001227; GO:0001764; GO:0003700; GO:0005654; GO:0005829; GO:0006357; GO:0007411; GO:0008285; GO:0021772; GO:0021797; GO:0043697; GO:0045666; GO:0045893; GO:0046872; GO:0050767	IPR036236;IPR013087;
A1A519	GO:0003677; GO:0005634; GO:0006366; GO:0009566; GO:0045893; GO:0046872	IPR033376;IPR040879;
A1YPR0	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0008285; GO:0045600; GO:0045944; GO:0046872; GO:1903025	IPR016024;IPR000210;IPR011333;IPR036236;IPR013087;
A2AJT9	GO:0003677; GO:0003712; GO:0005739; GO:0016592; GO:0045944	IPR029199;
A2RRD8	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A2RU54	GO:0000785; GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0007420; GO:0008284; GO:0030154; GO:0042472; GO:0048026; GO:1990837	IPR009057;IPR017970;IPR001356;IPR020479;
A3QJZ6	GO:0005737; GO:0008284; GO:0043066; GO:0045596; GO:0045892	IPR032675;IPR026271;
A3QJZ7	GO:0005737; GO:0008284; GO:0043066; GO:0045596; GO:0045892	IPR032675;IPR026271;
A4D1E1	GO:0005634; GO:0046872	IPR022755;IPR036236;IPR013087;
A4GXA9	GO:0000712; GO:0003677; GO:0004519; GO:0005634; GO:0006302; GO:0031297; GO:0031573; GO:0048476	IPR042530;IPR006166;IPR033310;
A5HJR3	GO:0006355; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A5PL33		IPR040095;IPR029317;
A5YKK6	GO:0000122; GO:0000288; GO:0000289; GO:0000932; GO:0001829; GO:0003723; GO:0005615; GO:0005634; GO:0005778; GO:0005829; GO:0006977; GO:0010606; GO:0016020; GO:0017148; GO:0019904; GO:0030014; GO:0030015; GO:0030331; GO:0033147; GO:0035195; GO:0042974; GO:0048387; GO:0060090; GO:0060213; GO:0061014; GO:0070016; GO:0090503; GO:1900153; GO:2000036	IPR007196;IPR024557;IPR040398;IPR032191;IPR032194;IPR032193;IPR038535;IPR016021;
A6H8Y1	GO:0000126; GO:0001156; GO:0005654; GO:0070898	IPR009057;IPR001005;IPR039467;
A6NCS4	GO:0000785; GO:0000977; GO:0000978; GO:0000981; GO:0001228; GO:0003700; GO:0005634; GO:0006357; GO:0008284; GO:0021854; GO:0030154; GO:0035050; GO:0043066; GO:0043586; GO:0045944; GO:0048565; GO:0055014; GO:0055015; GO:0060037; GO:0060039	IPR009057;IPR017970;IPR001356;IPR020479;
A6ND36	GO:0005634; GO:0005829; GO:0007165; GO:0019901; GO:0030509	IPR012461;
A6NDZ8		IPR032343;IPR025884;
A6NE82		IPR032343;IPR025884;
A6NFC5	GO:0005783; GO:0016021; GO:0016324	IPR004031;IPR039951;
A6NFD8	GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0009952; GO:0046983; GO:0050767	IPR011598;IPR036638;IPR003650;
A6NFI3	GO:0000981; GO:0005634; GO:0006357; GO:0043565; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
A6NFQ7	GO:0000785; GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:1990837	IPR009057;IPR017970;IPR001356;
A6NGH7		IPR026789;
A6NGN4	GO:0005737; GO:0008284; GO:0043066; GO:0045596; GO:0045892	IPR032675;IPR026271;
A6NHJ4	GO:0000978; GO:0000981; GO:0005634; GO:0006357; GO:0046872	IPR001909;IPR036051;IPR036236;IPR013087;
