Entry	Name	GO annotations	Interpro domains	DeepTF score	GO annotations no IEA
A0A0G2JMD5	PRAMEF33	GO:0008284 GO:0043066 GO:0045596 GO:0045892 GO:0005737	IPR026271;	0.0163	GO:0005737
A0A0U1RQI7	KLF18	GO:0000978 GO:0000981 GO:0046872 GO:0006357 GO:0005634	IPR011049;IPR036236;IPR013087;	NA	GO:0000978 GO:0000981 GO:0006357
A0A1B0GTS1	HSFX4	GO:0000978 GO:0003700 GO:0006357 GO:0005634	IPR000232;IPR027725;IPR036388;IPR036390;	0.9743	GO:0000978 GO:0003700 GO:0006357 GO:0005634
A0A1B0GTU1	ZC3H11B	GO:0003729 GO:0046872 GO:0016973	IPR041686;IPR000571;	NA	GO:0003729 GO:0016973
A0A1B0GVX0	LITAFD	GO:0046872 GO:0016020	IPR006629;IPR037519;	NA	NA
A0A1B0GVZ6	MBD3L2B	NA	IPR032343;IPR025884;	0.025	NA
A0A1B0GWH4	HSFX3	GO:0000978 GO:0000981 GO:0003700 GO:0006357 GO:0005634 GO:0000785	IPR000232;IPR027725;IPR036388;IPR036390;	0.9511	GO:0000978 GO:0000981 GO:0003700 GO:0006357 GO:0005634 GO:0000785
A0A1W2PPF3	DUXB	GO:0000977 GO:0000981 GO:0006357 GO:0005634	IPR009057;IPR017970;IPR001356;	0.955	GO:0000977 GO:0000981 GO:0006357 GO:0005634
A0A1W2PPM1	CPHXL	GO:0000978 GO:0000981 GO:0006357 GO:0005634	IPR009057;IPR001356;	0.9992	GO:0000978 GO:0000981 GO:0006357 GO:0005634
A0A1W2PQ73	ERFL	GO:0000981 GO:0043565 GO:0006357 GO:0030154 GO:0005634	IPR000418;IPR036388;IPR036390;	NA	GO:0000981 GO:0006357 GO:0030154 GO:0005634
A0A1W2PRP0	FOXL3	GO:0000978 GO:0000981 GO:0006357 GO:0009653 GO:0030154 GO:0005634	IPR001766;IPR030456;IPR036388;IPR036390;	NA	GO:0000978 GO:0000981 GO:0006357 GO:0009653 GO:0030154
A0A2Z4LIS9	FOXO3B	GO:0003700 GO:0043565 GO:0006355 GO:0005829	IPR001766;IPR036388;IPR036390;	0.8167	NA
A0A5F9ZHS7	NFILZ	GO:0003677 GO:0003700 GO:0006355 GO:0006366 GO:0006955 GO:0005634	IPR004827;IPR016743;	0.9761	NA
A0AVK6	E2F8	GO:0000978 GO:0000978 GO:0000981 GO:0000981 GO:0000987 GO:0001217 GO:0001227 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0042802 GO:1990837 GO:0000122 GO:0000122 GO:0001890 GO:0002040 GO:0006357 GO:0008283 GO:0032466 GO:0032877 GO:0033301 GO:0045944 GO:0060707 GO:0060718 GO:0070365 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005730 GO:0005829 GO:0000785 GO:0090575	IPR015633;IPR003316;IPR036388;IPR036390;	0.9885	GO:0000978 GO:0000978 GO:0000981 GO:0000981 GO:0000987 GO:0001217 GO:0001227 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:1990837 GO:0000122 GO:0000122 GO:0001890 GO:0002040 GO:0006357 GO:0032466 GO:0032877 GO:0033301 GO:0045944 GO:0060707 GO:0060718 GO:0070365 GO:0005654 GO:0005654 GO:0005654 GO:0005654 GO:0005730 GO:0005829 GO:0000785 GO:0090575
A0JLT2	MED19	GO:0003712 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0045944 GO:0005634 GO:0070847 GO:0016592	IPR019403;	0.0358	GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0045944 GO:0005634 GO:0070847 GO:0016592
A0PJY2	FEZF1	GO:0000978 GO:0001227 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0046872 GO:0000122 GO:0001764 GO:0006357 GO:0007411 GO:0008285 GO:0021772 GO:0021797 GO:0043697 GO:0045666 GO:0045893 GO:0050767 GO:0005654 GO:0005829	IPR036236;IPR013087;	0.9166	GO:0000978 GO:0003700 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0005515 GO:0006357 GO:0005654 GO:0005829
A1A519	FAM170A	GO:0003677 GO:0046872 GO:0006366 GO:0006366 GO:0009566 GO:0045893 GO:0045893 GO:0005634 GO:0005634 GO:0005634	IPR033376;IPR040879;	0.9959	GO:0006366 GO:0006366 GO:0009566 GO:0045893 GO:0045893 GO:0005634 GO:0005634 GO:0005634
A1YPR0	ZBTB7C	GO:0000978 GO:0000981 GO:0003674 GO:0046872 GO:0006357 GO:0008285 GO:0045600 GO:0045944 GO:1903025 GO:0005575 GO:0005634	IPR016024;IPR000210;IPR011333;IPR036236;IPR013087;	0.9986	GO:0000978 GO:0000981 GO:0003674 GO:0006357 GO:0008285 GO:0005575
A2AJT9	BCLAF3	GO:0003677 GO:0003712 GO:0045944 GO:0005739 GO:0016592	IPR029199;	0.0854	GO:0003677 GO:0003712 GO:0045944 GO:0016592
A2RRD8	ZNF320	GO:0000978 GO:0000981 GO:0005515 GO:0005515 GO:0046872 GO:0006357 GO:0005634	IPR001909;IPR036051;IPR036236;IPR013087;	0.9998	GO:0000978 GO:0000981 GO:0005515 GO:0005515 GO:0006357 GO:0005634
A2RU54	HMX2	GO:0000977 GO:0000981 GO:0000981 GO:1990837 GO:0006357 GO:0007420 GO:0008284 GO:0030154 GO:0042472 GO:0048026 GO:0005634 GO:0000785	IPR009057;IPR017970;IPR001356;IPR020479;	0.9982	GO:0000977 GO:0000981 GO:0000981 GO:1990837 GO:0006357 GO:0005634 GO:0000785
A3QJZ6	PRAMEF22	GO:0008284 GO:0043066 GO:0045596 GO:0045892 GO:0005737	IPR032675;IPR026271;	0.0133	GO:0005737
A3QJZ7	PRAMEF27	GO:0008284 GO:0043066 GO:0045596 GO:0045892 GO:0005737	IPR032675;IPR026271;	0.1249	GO:0005737
A4D1E1	ZNF804B	GO:0046872 GO:0005634	IPR022755;IPR036236;IPR013087;	NA	GO:0005634
A4GXA9	EME2	GO:0003677 GO:0004519 GO:0005515 GO:0000712 GO:0006302 GO:0006302 GO:0031297 GO:0031297 GO:0031573 GO:0090305 GO:0090305 GO:1905347 GO:0048476	IPR042530;IPR006166;IPR033310;	0.0203	GO:0005515 GO:0000712 GO:0006302 GO:0006302 GO:0031297 GO:0031297 GO:0031573 GO:1905347 GO:0048476
A5PL33	KRBA1	GO:0003674 GO:0008150 GO:0005575	IPR040095;IPR029317;	NA	GO:0003674 GO:0008150 GO:0005575
